activity_year,loan_type,action_taken,loan_purpose,business_or_commercial_purpose,construction_method,occupancy_type,state_code,county_name,loan_amount,income,loan_term,property_value,total_units
2022,1,1,1,2,1,1,TX,Montgomery County  ,415000,96000.0,360.0,455000.0,1
2022,1,1,1,2,1,1,NY,Rockland County  ,235000,135000.0,360.0,305000.0,1
2022,1,1,1,2,1,1,MN,Hennepin County  ,155000,117000.0,360.0,535000.0,1
2022,1,1,1,2,1,1,WV,Raleigh County  ,125000,34000.0,360.0,125000.0,1
2022,1,1,1,2,1,1,NY,Orange County  ,395000,120000.0,360.0,465000.0,1
2022,1,1,1,2,1,1,NJ,Bergen County  ,225000,197000.0,360.0,335000.0,1
2022,1,1,1,2,1,1,CA,Los Angeles County ,395000,85000.0,360.0,425000.0,1
2022,1,1,1,2,1,1,PA,Philadelphia County  ,245000,80000.0,360.0,255000.0,1
2022,1,1,1,2,1,1,PA,Berks County  ,295000,134000.0,360.0,325000.0,1
2022,1,1,1,2,1,1,CA,Sacramento County  ,115000,57000.0,360.0,145000.0,1
2022,1,1,1,2,1,1,PA,Elk County  ,145000,92000.0,360.0,155000.0,1
2022,1,1,1,2,1,1,NY,Tompkins County  ,155000,63000.0,360.0,245000.0,2
2022,1,1,1,2,1,1,NJ,Hudson County  ,505000,276000.0,360.0,635000.0,1
2022,1,1,1,2,1,1,NJ,Essex County  ,495000,164000.0,360.0,525000.0,1
2022,1,1,1,2,1,1,NY,Nassau County  ,395000,144000.0,360.0,495000.0,1
2022,1,1,1,2,1,1,CA,Kern County  ,235000,66000.0,360.0,245000.0,1
2022,1,1,1,2,1,1,NH,Hillsborough County  ,315000,122000.0,360.0,395000.0,1
2022,1,1,1,2,1,1,IL,McLean County  ,195000,101000.0,360.0,215000.0,1
2022,1,1,1,2,1,1,WV,Putnam County  ,145000,33000.0,360.0,155000.0,1
2022,1,1,1,2,1,1,TN,Meigs County  ,205000,65000.0,360.0,215000.0,1
2022,1,1,1,2,1,1,FL,Leon County  ,285000,64000.0,360.0,305000.0,1
2022,1,1,1,2,1,1,NJ,Morris County  ,455000,190000.0,360.0,565000.0,1
2022,1,1,1,2,1,1,ME,York County  ,275000,60000.0,360.0,325000.0,1
2022,1,1,1,2,1,1,PA,Cumberland County  ,265000,55000.0,360.0,495000.0,1
2022,1,1,1,2,1,1,NJ,Morris County  ,375000,85000.0,360.0,685000.0,1
2022,1,1,1,2,1,1,TX,Randall County  ,175000,73000.0,360.0,215000.0,1
2022,1,1,1,2,1,1,TX,Randall County  ,365000,122000.0,360.0,455000.0,1
2022,1,1,1,2,1,1,NH,Hillsborough County  ,345000,96000.0,360.0,465000.0,1
2022,1,1,1,2,1,1,PA,Westmoreland County  ,385000,127000.0,360.0,405000.0,1
2022,1,1,1,2,1,1,IL,Cook County  ,225000,325000.0,360.0,285000.0,1
2022,1,1,1,2,1,1,OR,Multnomah County  ,305000,128000.0,360.0,325000.0,1
2022,1,1,1,2,1,1,OH,Seneca County  ,195000,61000.0,360.0,215000.0,1
2022,1,1,1,2,1,1,NJ,Hudson County  ,475000,145000.0,360.0,725000.0,1
2022,1,1,1,2,1,1,CA,Orange County  ,425000,90000.0,360.0,875000.0,1
2022,1,1,1,2,1,1,OH,Seneca County  ,175000,56000.0,360.0,185000.0,1
2022,1,1,1,2,1,1,OH,Miami County  ,195000,63000.0,360.0,225000.0,1
2022,1,1,1,2,1,1,TX,Brazoria County  ,215000,215000.0,360.0,275000.0,1
2022,1,1,1,2,1,1,IL,Livingston County  ,105000,77000.0,360.0,115000.0,1
2022,1,1,1,2,1,1,PA,Lancaster County  ,265000,123000.0,360.0,285000.0,1
2022,1,1,1,2,1,1,OR,Lane County  ,565000,187000.0,360.0,605000.0,1
2022,1,1,1,2,1,1,MS,Jones County  ,75000,38000.0,360.0,75000.0,1
2022,1,1,1,2,1,1,OH,Hancock County  ,175000,65000.0,360.0,295000.0,1
2022,1,1,1,2,1,1,NJ,Hudson County  ,615000,185000.0,360.0,665000.0,1
2022,1,1,1,2,1,1,LA,Livingston Parish  ,225000,75000.0,360.0,275000.0,1
2022,1,1,1,2,1,1,WV,Logan County  ,215000,80000.0,360.0,245000.0,1
2022,1,1,1,2,1,1,NE,Lincoln County  ,165000,125000.0,360.0,245000.0,1
2022,1,1,1,2,1,1,WV,Berkeley County  ,245000,81000.0,360.0,335000.0,1
2022,1,1,1,2,1,1,TN,Wilson County  ,335000,67000.0,360.0,355000.0,1
